Date,59.91°,59.13°,59.97°,61.9°,63.25°,65.46°,66.74°,67.96°,69.49°,70.51°,70.2°,70.2°,68.55°,65.32°,62.52°,60.99°,59.91°
2023-01-01,4.97,4.5,5.0,6.8,6.4,5.6,5.03,4.35,3.2,1.95,2.4,2.4,3.97,5.67,6.6,6.2,4.97
2023-01-02,4.9,4.47,4.97,6.82,6.42,5.65,5.08,4.42,3.28,2.08,2.52,2.52,4.02,5.68,6.65,6.0,4.9
2023-01-03,4.85,4.43,4.9,6.87,6.47,5.7,5.13,4.47,3.37,2.23,2.63,2.63,4.1,5.73,6.67,5.87,4.85
2023-01-04,4.8,4.4,4.83,6.88,6.52,5.75,5.18,4.55,3.45,2.38,2.77,2.77,4.18,5.78,6.72,5.7,4.8
2023-01-05,4.75,4.37,4.77,6.93,6.53,5.8,5.23,4.6,3.57,2.53,2.9,2.9,4.27,5.83,6.77,5.6,4.75
2023-01-06,4.67,4.3,4.73,6.98,6.58,5.85,5.32,4.68,3.68,2.68,3.02,3.02,4.35,5.9,6.82,5.47,4.67
2023-01-07,4.63,4.28,4.65,7.02,6.63,5.9,5.37,4.77,3.77,2.83,3.17,3.17,4.43,5.97,6.85,5.35,4.63
2023-01-08,4.57,4.23,4.6,6.92,6.68,5.97,5.45,4.85,3.88,2.98,3.28,3.28,4.52,6.02,6.9,5.25,4.57
2023-01-09,4.52,4.18,4.53,6.3,6.75,6.03,5.52,4.93,4.0,3.13,3.43,3.43,4.62,6.08,6.95,5.15,4.52
2023-01-10,4.47,4.15,4.47,6.0,6.8,6.1,5.6,5.03,4.12,3.28,3.57,3.57,4.7,6.15,7.0,5.05,4.47
2023-01-11,4.4,4.1,4.4,5.78,6.85,6.17,5.68,5.12,4.23,3.45,3.72,3.72,4.82,6.22,7.05,4.95,4.4
2023-01-12,4.33,4.03,4.37,5.6,6.93,6.23,5.77,5.22,4.37,3.6,3.83,3.83,4.9,6.3,7.12,4.85,4.33
2023-01-13,4.28,4.0,4.3,5.43,6.98,6.32,5.85,5.32,4.48,3.75,3.98,3.98,5.02,6.37,6.33,4.78,4.28
