Date,Morning Start,Morning End,Evening Start,Evening End
2023-05-11,02:57,04:36,19:17,20:57
2023-05-12,03:01,04:37,19:16,20:53
2023-05-13,02:51,04:32,19:21,21:03
2023-05-14,02:28,04:22,19:32,21:26
2023-05-15,02:07,04:13,19:41,21:48
2023-05-16,01:19,03:57,19:56,22:39
2023-05-17,00:00,03:46,20:08,23:59
2023-05-18,00:00,03:33,20:21,23:59
2023-05-19,00:00,03:15,20:40,23:59
2023-05-20,00:00,02:59,20:56,23:59
2023-05-21,00:00,03:00,20:55,23:59
2023-05-22,00:00,02:56,20:59,23:59
2023-05-23,00:00,03:13,20:42,23:59
2023-05-24,00:00,03:40,20:15,23:59
2023-05-25,01:41,03:57,19:57,22:16
2023-05-26,02:03,04:05,19:50,21:53
2023-05-27,02:15,04:09,19:45,21:40
