Date,59.91°,59.13°,59.97°,61.9°,63.25°,65.46°,66.74°,67.96°,69.49°,70.51°,70.2°,70.2°,68.55°,65.32°,62.52°,60.99°,59.91°
2023-01-01,4.96,4.51,5.0,6.79,6.39,5.6,5.03,4.35,3.19,1.95,2.41,2.41,3.96,5.66,6.61,6.19,4.96
2023-01-02,4.92,4.47,4.95,6.83,6.42,5.64,5.08,4.41,3.27,2.09,2.52,2.52,4.03,5.69,6.64,6.02,4.92
2023-01-03,4.86,4.43,4.9,6.86,6.46,5.69,5.12,4.47,3.38,2.24,2.64,2.64,4.09,5.74,6.67,5.87,4.86
2023-01-04,4.78,4.4,4.83,6.89,6.51,5.74,5.18,4.54,3.46,2.39,2.77,2.77,4.17,5.79,6.72,5.72,4.78
2023-01-05,4.74,4.37,4.78,6.92,6.54,5.79,5.24,4.61,3.56,2.53,2.89,2.89,4.26,5.84,6.76,5.58,4.74
2023-01-06,4.67,4.32,4.72,6.97,6.59,5.84,5.31,4.69,3.67,2.68,3.02,3.02,4.34,5.9,6.81,5.47,4.67
2023-01-07,4.62,4.28,4.66,7.02,6.64,5.91,5.38,4.78,3.77,2.83,3.16,3.16,4.42,5.96,6.85,5.36,4.62
2023-01-08,4.57,4.23,4.59,6.92,6.69,5.97,5.45,4.85,3.88,2.98,3.29,3.29,4.52,6.02,6.9,5.25,4.57
2023-01-09,4.52,4.18,4.53,6.3,6.75,6.03,5.52,4.93,4.0,3.13,3.43,3.43,4.62,6.08,6.95,5.15,4.52
2023-01-10,4.45,4.14,4.47,6.01,6.8,6.1,5.6,5.03,4.12,3.28,3.57,3.57,4.71,6.15,7.0,5.05,4.45
2023-01-11,4.4,4.1,4.42,5.78,6.86,6.17,5.67,5.12,4.23,3.44,3.71,3.71,4.81,6.22,7.06,4.96,4.4
2023-01-12,4.33,4.05,4.37,5.6,6.92,6.24,5.76,5.22,4.36,3.59,3.84,3.84,4.91,6.29,7.12,4.86,4.33
2023-01-13,4.28,4.01,4.31,5.43,6.98,6.32,5.84,5.31,4.47,3.74,3.99,3.99,5.02,6.37,6.33,4.78,4.28
2023-01-14,4.22,3.97,4.24,5.28,7.05,6.4,5.93,5.42,4.6,3.9,4.13,4.13,5.12,6.43,6.0,4.7,4.22
2023-01-15,4.17,3.92,4.18,5.17,7.12,6.47,6.02,5.52,4.72,4.05,4.28,4.28,5.23,6.52,5.76,4.62,4.17
2023-01-16,4.12,3.88,4.14,5.04,7.19,6.56,6.11,5.62,4.86,4.21,4.42,4.42,5.34,6.59,5.56,4.53,4.12
2023-01-17,4.07,3.83,4.08,4.92,6.39,6.63,6.21,5.72,4.98,4.36,4.56,4.56,5.46,6.68,5.38,4.46,4.07
2023-01-18,4.02,3.8,4.03,4.83,6.03,6.72,6.3,5.83,5.12,4.52,4.7,4.7,5.57,6.77,5.23,4.39,4.02
2023-01-19,3.97,3.75,3.98,4.73,5.77,6.81,6.39,5.94,5.24,4.67,4.86,4.86,5.69,6.84,5.1,4.33,3.97
