Date,60°,62°,64°,66°,68°,70°
2023-01-01,342.0,451.0,420.0,382.5,335.0,270.5
2023-01-02,338.5,452.75,422.0,385.0,338.0,274.0
2023-01-03,335.0,454.5,424.25,387.5,341.0,278.25
2023-01-04,331.5,456.75,426.75,390.25,344.25,282.75
2023-01-05,327.75,458.75,429.25,393.25,347.75,287.25
2023-01-06,324.0,461.0,431.75,396.25,351.75,292.25
2023-01-07,320.25,463.5,434.5,399.5,355.5,297.25
2023-01-08,316.25,466.25,437.5,403.0,359.75,302.5
2023-01-09,312.5,441.75,440.75,406.5,364.0,308.0
2023-01-10,309.0,415.25,443.75,410.25,368.5,313.75
2023-01-11,305.0,399.0,447.25,414.0,373.0,319.5
2023-01-12,301.5,386.0,450.75,418.25,378.0,325.75
2023-01-13,297.75,375.0,454.5,422.5,383.0,331.75
2023-01-14,294.0,365.5,458.25,426.75,388.0,338.0
2023-01-15,290.75,356.75,462.0,431.0,393.25,344.75
2023-01-16,287.0,348.75,465.75,435.75,398.75,351.25
2023-01-17,283.5,341.5,470.0,440.5,404.0,358.0
2023-01-18,280.0,334.5,474.25,445.25,409.75,364.75
2023-01-19,277.25,328.25,478.75,450.25,415.5,371.5
2023-01-20,274.0,322.0,461.25,455.0,421.5,378.75
2023-01-21,270.5,316.5,421.5,460.25,427.25,385.75
2023-01-22,267.5,311.0,400.5,465.5,433.25,392.75
2023-01-23,264.5,305.75,385.0,470.75,439.25,400.25
2023-01-24,261.5,301.0,372.25,476.25,445.75,407.5
2023-01-25,258.75,296.25,361.25,481.75,451.75,415.0
2023-01-26,256.0,291.75,351.75,487.25,458.25,422.5
2023-01-27,253.25,287.5,343.0,492.75,464.75,429.75
2023-01-28,250.5,283.5,335.0,498.5,471.0,437.5
2023-01-29,248.0,279.5,328.0,439.75,477.5,445.0
2023-01-30,245.5,276.0,321.25,413.5,484.25,453.0
2023-01-31,243.25,272.25,315.25,395.25,490.75,460.5
2023-02-01,240.75,269.0,309.25,381.0,497.5,468.25
2023-02-02,238.25,265.5,304.0,368.75,504.25,476.0
2023-02-03,236.5,262.5,299.0,358.25,511.0,483.75
2023-02-04,234.0,259.25,294.25,348.75,518.25,491.75
2023-02-05,232.0,256.5,289.75,340.75,457.0,499.5
